id,found_at,status,title,company,location,source,url
curated_cmu_ml_phd,2026-07-14 15:39:54 UTC,To Research,"PhD in Machine Learning — home of the Catalyst ML-systems group. Early deadline Nov 18, 2026; final Dec 9, 2026. Fully funded, GRE optional.",Carnegie Mellon University — Machine Learning Dept.,"Pittsburgh, PA, USA",Curated,https://www.ml.cmu.edu/academics/machine-learning-phd
curated_cmu_catalyst,2026-07-14 15:39:54 UTC,To Research,"Catalyst research group — ML systems, LLM serving/inference optimization (Zhihao Jia et al.). Apply via the CMU ML PhD program above and reference this group.",Carnegie Mellon University — Catalyst Group,"Pittsburgh, PA, USA",Curated,https://catalyst.cs.cmu.edu/
curated_cmu_zhihao_jia,2026-07-14 15:39:54 UTC,To Research,Prof. Zhihao Jia — LLM serving systems & inference efficiency. Strong fit for Azure AI Foundry / AI-infrastructure background. Email before applying.,Carnegie Mellon University — Zhihao Jia's lab,"Pittsburgh, PA, USA",Curated,https://www.cs.cmu.edu/~zhihaoj2/
curated_northeastern_khoury_phd,2026-07-14 15:39:54 UTC,To Research,"PhD in Computer Science — deadline Dec 15, 2026. Test-optional; “advanced entry” petition available for Master's holders; rolling review.",Northeastern University — Khoury College,"Boston, MA, USA",Curated,https://www.khoury.northeastern.edu/programs/computer-science-phd/
curated_northeastern_industry_phd,2026-07-14 15:39:54 UTC,To Research,"Industry/Experiential PhD — continue working while doing the PhD, paired with a faculty advisor + a company mentor. Confirm which departments currently participate.",Northeastern University — Industry PhD track,"Boston, MA, USA (hybrid with employer)",Curated,https://phd.northeastern.edu/industry-and-experiential-phd-program/
curated_columbia_cs_phd,2026-07-14 15:39:54 UTC,To Research,"PhD in Computer Science — deadline Dec 15, 2026 for Fall admission.",Columbia University — Dept. of Computer Science,"New York, NY, USA",Curated,https://www.cs.columbia.edu/education/admissions8/
curated_uiuc_vision_ml,2026-07-14 15:39:54 UTC,To Research,"Computer Vision & Machine Learning Group — actively seeking PhD students, deadline Dec 1, 2026, 5-year TA/RA funding guarantee.",University of Illinois Urbana-Champaign — Siebel School,"Urbana-Champaign, IL, USA",Curated,https://vision.ischool.illinois.edu/openings/
curated_stanford_cs_phd,2026-07-14 15:39:54 UTC,To Research,PhD in Computer Science — one admissions cycle/year; check exact Fall 2027 date on this page closer to the cycle.,Stanford University — Dept. of Computer Science,"Stanford, CA, USA",Curated,https://www.cs.stanford.edu/admissions-graduate-application-deadlines
curated_stanford_hazy,2026-07-14 15:39:54 UTC,To Research,"Hazy Research (Chris Ré) — foundation-model systems, data-centric AI, weak supervision. Directly adjacent to production RAG/LLM-systems work.",Stanford University — Hazy Research,"Stanford, CA, USA",Curated,https://hazyresearch.stanford.edu/
curated_gatech_ml_phd,2026-07-14 15:39:54 UTC,To Research,ML PhD — cross-school program; faculty can advise regardless of home department. Browse core/affiliated faculty here before applying.,Georgia Institute of Technology — ML @ GT,"Atlanta, GA, USA",Curated,https://ml.gatech.edu/people/faculty/phdprogramfaculty
